Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
₹2,"₹2,424","₹19,389",8 TB,5 years,"Internal 3.5""",HDD,New,"Western Digital 8TB Ultrastar DC HC320 SATA HDD - 7200 RPM Class, 256MB Cache, SATA 6 Gb/s, 3.5"" (HUS728T8TALE6L4)","<a href=""https://www.amazon.in/dp/B07H4PR6HN"">Western Digital 8TB Ultrastar DC HC320 SATA HDD - 7200 RPM Class, 256MB Cache, SATA 6 Gb/s, 3.5"" (HUS728T8TALE6L4)</a>"
₹2,"₹2,433","₹14,599",6 TB,3 years,"External 3.5""",HDD,New,"Western Digital WD 6TB My Book Desktop External Hard Disk Drive-3.5Inch, USB 3.0 with Automatic Backup,256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows&Mac, Portable HDD","<a href=""https://www.amazon.in/dp/B01NCSZKWM"">Western Digital WD 6TB My Book Desktop External Hard Disk Drive-3.5Inch, USB 3.0 with Automatic Backup,256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows&Mac, Portable HDD</a>"
₹2,"₹2,433","₹14,600",6 TB,3 years,"External 3.5""",HDD,New,WD Elements EE Portable 6TB Black EMEA,"<a href=""https://www.amazon.in/dp/B0D7VQP6R7"">WD Elements EE Portable 6TB Black EMEA</a>"
₹2,"₹2,443","₹14,660",6 TB,3 years,"Internal 3.5""",HDD,New,WD Purple™ 6TB Surveillance Hard Drive,"<a href=""https://www.amazon.in/dp/B0C4WTF5N2"">WD Purple™ 6TB Surveillance Hard Drive</a>"
₹2,"₹2,450","₹12,249",5 TB,3 years,"External 3.5""",HDD,New,"Seagate Expansion 5TB External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKM5000400)","<a href=""https://www.amazon.in/dp/B08ZJFYB9J"">Seagate Expansion 5TB External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKM5000400)</a>"
₹2,"₹2,472","₹12,359",5 TB,3 years,"External 3.5""",HDD,New,"Seagate One Touch 5TB External HDD with Password Protection – Black, for Windows and Mac, with 3 yr Data Recovery Services, and 6 Months Mylio Create Plan and Dropbox Backup Plan (STKZ5000400)","<a href=""https://www.amazon.in/dp/B094R15DYV"">Seagate One Touch 5TB External HDD with Password Protection – Black, for Windows and Mac, with 3 yr Data Recovery Services, and 6 Months Mylio Create Plan and Dropbox Backup Plan (STKZ5000400)</a>"
₹2,"₹2,475","₹9,899",4 TB,,"Internal 3.5""",HDD,New,Seagate SkyHawk 4 TB Surveillance Internal Hard Drive HDD - 3.5 Inch SATA 6 Gb/s 64 MB Cache for DVR NVR Security Camera System with Drive Health Management (ST4000VX007),"<a href=""https://www.amazon.in/dp/B01LOOJ8UI"">Seagate SkyHawk 4 TB Surveillance Internal Hard Drive HDD - 3.5 Inch SATA 6 Gb/s 64 MB Cache for DVR NVR Security Camera System with Drive Health Management (ST4000VX007)</a>"
₹2,"₹2,500","₹9,998",4 TB,3 years,"External 3.5""",HDD,New,"TOSHIBA Canvio Ready 4TB Portable External HDD - USB3.0 for PC Laptop Windows and Mac, 3 Years Warranty, External Hard Drive - Black","<a href=""https://www.amazon.in/dp/B08YJHHS2C"">TOSHIBA Canvio Ready 4TB Portable External HDD - USB3.0 for PC Laptop Windows and Mac, 3 Years Warranty, External Hard Drive - Black</a>"
₹2,"₹2,500","₹12,499",5 TB,3 years,"External 3.5""",HDD,New,"Seagate One Touch 5TB External HDD with Password Protection – Light Blue, for Windows and Mac, with 3 yr Data Recovery Services, and 6 Months Mylio Create Plan and Dropbox Backup Plan (STKZ5000402)","<a href=""https://www.amazon.in/dp/B094QZHWJV"">Seagate One Touch 5TB External HDD with Password Protection – Light Blue, for Windows and Mac, with 3 yr Data Recovery Services, and 6 Months Mylio Create Plan and Dropbox Backup Plan (STKZ5000402)</a>"
₹2,"₹2,500","₹12,499",5 TB,3 years,"External 3.5""",HDD,New,"Seagate One Touch 5TB External HDD with Password Protection – Silver, for Windows and Mac, with 3 yr Data Recovery Services, and 6 Months Mylio Create Plan and Dropbox Backup Plan (STKZ5000401)","<a href=""https://www.amazon.in/dp/B094QZPRZX"">Seagate One Touch 5TB External HDD with Password Protection – Silver, for Windows and Mac, with 3 yr Data Recovery Services, and 6 Months Mylio Create Plan and Dropbox Backup Plan (STKZ5000401)</a>"
