Price_per_GB,Price_per_TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML,,,,
$0.01 ,$8.35 ,$84 ,10 TB,2 years,"Internal 3.5""",HDD,Used,HGST Ultrastar He10 | HUH721010ALE600 (0F27452) | Power Disable | 10TB SATA 6.0Gb/s 7200 RPM 256MB Cache 3.5in HDD | 512e | Enterprise Hard Drive (Renewed),"<a href=""https://www.amazon.com/dp/B07DL3HHXD"">HGST Ultrastar He10 | HUH721010ALE600 (0F27452) | Power Disable | 10TB SATA 6.0Gb/s 7200 RPM 256MB Cache 3.5in HDD | 512e | Enterprise Hard Drive (Renewed)</a>",,,,
$0.01 ,$8.37 ,$21 ,2.5 TB,,Tape,LTO-6,New,Quantum MR-L6MQN-01 Blank Data Tape,"<a href=""https://www.amazon.com/dp/B00CJZNRAY"">Quantum MR-L6MQN-01 Blank Data Tape</a>",,,,
$0.01 ,$8.39 ,$21 ,2.5 TB,,Tape,LTO-6,Used,Hewlett-Packard Enterprise HP HEWC7976A LTO-6 Ultrium 6.25TB MP RW Data Cartridge,"<a href=""https://www.amazon.com/dp/B00AHQUV3S"">Hewlett-Packard Enterprise HP HEWC7976A LTO-6 Ultrium 6.25TB MP RW Data Cartridge</a>","<a href=""https://www.amazon.com/dp/B00AHQUV3S"">Hewlett-Packard Enterprise HP HEWC7976A LTO-6 Ultrium 6.25TB MP RW Data Cartridge</a>",,,
$0.01 ,$8.40 ,$21 ,2.5 TB,,Tape,LTO-6,New,Fuji 16310732 New Sealed LTO-6 Ultrium Tape 2.5TB/6.25TB.,"<a href=""https://www.amazon.com/dp/B00HXGRWQY"">Fuji 16310732 New Sealed LTO-6 Ultrium Tape 2.5TB/6.25TB.</a>",,,,
$0.01 ,$8.40 ,$84 ,10 TB,3 months,"Internal 3.5""",HDD,Used,"HGST Ultrastar He10 | HUH721010ALE604 | 0F27488 | 512e | 2.5M MTBF | 10TB SATA 6.0Gb/s 7200 RPM 256MB Cache 3.5"" | Helium Platform Enterprise Hard Disk Drive (Renewed)","<a href=""https://www.amazon.com/dp/B07RFNWSBT"">HGST Ultrastar He10 | HUH721010ALE604 | 0F27488 | 512e | 2.5M MTBF | 10TB SATA 6.0Gb/s 7200 RPM 256MB Cache 3.5"" | Helium Platform Enterprise Hard Disk Drive (Renewed)</a>",,,,
$0.01 ,$8.41 ,$101 ,12 TB,,Tape,LTO-8,New,"Data Cartridge Bar Code Labels, Lto Ultrium 8 (Lto-8), Series (000201-000400)","<a href=""https://www.amazon.com/dp/B077SVNKYH"">Data Cartridge Bar Code Labels, Lto Ultrium 8 (Lto-8), Series (000201-000400)</a>",,,,
$0.01 ,$8.42 ,"$1,010 ",6 TB x20,,Tape,LTO-7,New,IBM ULTRIUM LTO 7 Tape Cartridge - 2.5TB - Library Pack - 20 CARTS PER Pack 38L7315,"<a href=""https://www.amazon.com/dp/B01E1XNESQ"">IBM ULTRIUM LTO 7 Tape Cartridge - 2.5TB - Library Pack - 20 CARTS PER Pack 38L7315</a>",,,,
$0.01 ,$8.47 ,"$1,016 ",6 TB x20,,Tape,LTO-7,New,Hpe Lto-7 Rw Cust Labeled No Case 20 Pac,"<a href=""https://www.amazon.com/dp/B017OUMMA4"">Hpe Lto-7 Rw Cust Labeled No Case 20 Pac</a>",,,,
$0.01 ,$8.47 ,$106 ,2.5 TB x5,,Tape,LTO-6,New,5-Pack Fujifilm LTO Ultrium 6 Data Cartridge,"<a href=""https://www.amazon.com/dp/B00M3BH4X0"">5-Pack Fujifilm LTO Ultrium 6 Data Cartridge</a>",,,,
$0.01 ,$8.57 ,$257 ,1.5 TB x20,,Tape,LTO-5,New,Quantum 20 x LTO Ultrium 5-1.5 TB / 3 TB - Library Pack,"<a href=""https://www.amazon.com/dp/B005YNURV0"">Quantum 20 x LTO Ultrium 5-1.5 TB / 3 TB - Library Pack</a>",,,,
