Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
A$0.115,A$114,A$229,2 TB,5 years,M.2,NVMe,New,"CORSAIR MP600 Elite 2TB M.2 PCIe Gen4 x4 NVMe SSD with Included Heatsink – M.2 2280 – Up to 7,000MB/sec Sequential Read – High-Density 3D TLC NAND – Black","<a href=""https://www.amazon.com.au/dp/B0CSG79PBV"">CORSAIR MP600 Elite 2TB M.2 PCIe Gen4 x4 NVMe SSD with Included Heatsink – M.2 2280 – Up to 7,000MB/sec Sequential Read – High-Density 3D TLC NAND – Black</a>"
A$0.115,A$115,A$230,2 TB,5 years,M.2,NVMe,New,"ORICO 2TB NVMe SSD PCIe 4.0- up to 7000MB/s, M.2 NVMe 2280 SSD PCIe 4.0X4 Internal Solid State Drive SSD, Fast Heat Dissipation, Compatible with PS5, for Gamers and Creators-O7000 2TB","<a href=""https://www.amazon.com.au/dp/B0CQM3HG5S"">ORICO 2TB NVMe SSD PCIe 4.0- up to 7000MB/s, M.2 NVMe 2280 SSD PCIe 4.0X4 Internal Solid State Drive SSD, Fast Heat Dissipation, Compatible with PS5, for Gamers and Creators-O7000 2TB</a>"
A$0.116,A$116,A$59,512 GB,5 years,microSD,Flash,New,"Lexar Play 512GB Micro SD Card, microSDXC UHS-I Memory Card, Up to 160MB/s R/100MB/s W, U3, V30, A2, C10 microSD Card for Nintendo-Switch/Portable Gaming Device/Smartphone/Tablet (LMSPLAY512G-BNNAG)","<a href=""https://www.amazon.com.au/dp/B08PCGC71B"">Lexar Play 512GB Micro SD Card, microSDXC UHS-I Memory Card, Up to 160MB/s R/100MB/s W, U3, V30, A2, C10 microSD Card for Nintendo-Switch/Portable Gaming Device/Smartphone/Tablet (LMSPLAY512G-BNNAG)</a>"
A$0.116,A$116,A$463,4 TB,,"Internal 2.5""",HDD,New,"Seagate Barracuda 4 TB 2.5 inch Internal Hard Drive (15 mm Form Factor, 128 MB Cache SATA 6 GB/s up to 140 MB/s)","<a href=""https://www.amazon.com.au/dp/B01LXCE9W9"">Seagate Barracuda 4 TB 2.5 inch Internal Hard Drive (15 mm Form Factor, 128 MB Cache SATA 6 GB/s up to 140 MB/s)</a>"
A$0.116,A$116,A$59,512 GB,,microSD,Flash,New,"SAMSUNG EVO Plus Micro SD Memory Card + Adapter, 512GB microSDXC, Up to 130MB/s, UHS-I, A2, V30, Expanded Storage for Gaming, Tablet, MB-MC512KA/AM, 2021","<a href=""https://www.amazon.com.au/dp/B09PZ9SHTK"">SAMSUNG EVO Plus Micro SD Memory Card + Adapter, 512GB microSDXC, Up to 130MB/s, UHS-I, A2, V30, Expanded Storage for Gaming, Tablet, MB-MC512KA/AM, 2021</a>"
A$0.117,A$117,A$234,2 TB,5 years,M.2,NVMe,New,"CORSAIR MP600 PRO LPX 2TB M.2 NVMe PCIe x4 Gen4 SSD - Optimised for PS5 (Up to 7,100MB/sec Sequential Read & 6,800MB/sec Sequential Write Speeds, High-Speed Interface, Compact Form Factor) Black","<a href=""https://www.amazon.com.au/dp/B09Q2NCFS7"">CORSAIR MP600 PRO LPX 2TB M.2 NVMe PCIe x4 Gen4 SSD - Optimised for PS5 (Up to 7,100MB/sec Sequential Read & 6,800MB/sec Sequential Write Speeds, High-Speed Interface, Compact Form Factor) Black</a>"
A$0.117,A$117,A$234,2 TB,5 years,Internal,SSD,New,"Western Digital 2TB WD Blue SA510 SATA Internal Solid State Drive SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 560 MB/s - WDS200T3B0A","<a href=""https://www.amazon.com.au/dp/B0C14TF467"">Western Digital 2TB WD Blue SA510 SATA Internal Solid State Drive SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 560 MB/s - WDS200T3B0A</a>"
A$0.117,A$117,A$60,512 GB,,microSD,Flash,New,Samsung EVO Plus 512GB MicroSD Memory Card with Adapter,"<a href=""https://www.amazon.com.au/dp/B09DVPZX68"">Samsung EVO Plus 512GB MicroSD Memory Card with Adapter</a>"
A$0.117,A$117,A$15,128 GB,,microSD,Flash,New,"New TPUSDX128GIV30A103 09T-PROV30-128GB TEAM PRO V30 U3 128GB MICROSD Card, USH-I Class 3, Limited .d.","<a href=""https://www.amazon.com.au/dp/B07T422NXL"">New TPUSDX128GIV30A103 09T-PROV30-128GB TEAM PRO V30 U3 128GB MICROSD Card, USH-I Class 3, Limited .d.</a>"
A$0.117,A$117,A$234,2 TB,,M.2,NVMe,New,"Samsung 990 EVO NVMe M.2 SSD 2 TB, PCIe 4.0 x4 / PCIe 5.0 x2, NVMe 2.0 (2280), Read/Write speeds up to 5,000/4,200 MB/s, Internal SSD (Solid State Drive), MZ-V9E2T0BW","<a href=""https://www.amazon.com.au/dp/B0CP42QVT8"">Samsung 990 EVO NVMe M.2 SSD 2 TB, PCIe 4.0 x4 / PCIe 5.0 x2, NVMe 2.0 (2280), Read/Write speeds up to 5,000/4,200 MB/s, Internal SSD (Solid State Drive), MZ-V9E2T0BW</a>"
