Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
"€0,020","€20,21",€162,8 TB,,"Internal 3.5""",HDD,Used,"Seagate Technology BarraCuda, 8 TB, disco duro interno, 3,5 pulgadas, SATA, 6 Gb/s, 5400 RPM, caché de 256 MB, para ordenador PC de sobremesa, FFP (ST8000DMZ04/004)","<a href=""https://www.amazon.es/dp/B07H289S7C"">Seagate Technology BarraCuda, 8 TB, disco duro interno, 3,5 pulgadas, SATA, 6 Gb/s, 5400 RPM, caché de 256 MB, para ordenador PC de sobremesa, FFP (ST8000DMZ04/004)</a>"
"€0,020","€20,40",€204,10 TB,2 years,"External 3.5""",HDD,New,"Seagate Expansion Desktop, 10 TB, Unidad De Disco Duro Externa HDD, 3.5"", USB 3.0, PC & Notebook, 2 Años Rescue Services (STKP10000402)","<a href=""https://www.amazon.es/dp/B093BWHR9C"">Seagate Expansion Desktop, 10 TB, Unidad De Disco Duro Externa HDD, 3.5"", USB 3.0, PC & Notebook, 2 Años Rescue Services (STKP10000402)</a>","<a href=""https://www.amazon.es/dp/B093BWHR9C"">Seagate Expansion Desktop, 10 TB, Unidad De Disco Duro Externa HDD, 3.5"", USB 3.0, PC & Notebook, 2 Años Rescue Services (STKP10000402)</a>"
"€0,020","€20,42",€123,6 TB,,"External 3.5""",HDD,New,Intenso Disco Duro Externo 6TB Negro,"<a href=""https://www.amazon.es/dp/B0716RRWTQ"">Intenso Disco Duro Externo 6TB Negro</a>"
"€0,021","€20,50",€492,24 TB,3 years,"External 3.5""",HDD,New,"WD 24TB My Book HDD de Escritorio Disco Duro Externo, Guardar de Fotos, vídeos y Documentos Importantes. con Software para gestión de Dispositivos, Copia de Seguridad y protección de contraseñas","<a href=""https://www.amazon.es/dp/B0D92L4R79"">WD 24TB My Book HDD de Escritorio Disco Duro Externo, Guardar de Fotos, vídeos y Documentos Importantes. con Software para gestión de Dispositivos, Copia de Seguridad y protección de contraseñas</a>"
"€0,021","€20,74",€41,2 TB,,"Internal 3.5""",HDD,New,"Seagate ST2000VM003 - Disco Duro de 2 TB SATA 3, Color Gris","<a href=""https://www.amazon.es/dp/B008B0RQ1C"">Seagate ST2000VM003 - Disco Duro de 2 TB SATA 3, Color Gris</a>","<a href=""https://www.amazon.es/dp/B008B0RQ1C"">Seagate ST2000VM003 - Disco Duro de 2 TB SATA 3, Color Gris</a>"
"€0,021","€20,75",€249,12 TB,,"Internal 3.5""",HDD,New,Seagate IRONWOLF Pro Disco Duro 12TB 3.5''SATA 6GB/S 7200RPM BFER 256MB ST12000NE0008,"<a href=""https://www.amazon.es/dp/B07J3212N5"">Seagate IRONWOLF Pro Disco Duro 12TB 3.5''SATA 6GB/S 7200RPM BFER 256MB ST12000NE0008</a>"
"€0,021","€20,77",€457,22 TB,,"Internal 3.5""",HDD,New,Seagate EXOS X22 22TB SATA 3.5 Pulgadas 7200RPM 6GB/S 512E/4K,"<a href=""https://www.amazon.es/dp/B0C3B2MVLJ"">Seagate EXOS X22 22TB SATA 3.5 Pulgadas 7200RPM 6GB/S 512E/4K</a>"
"€0,021","€20,83",€250,12 TB,2 years,"External 3.5""",HDD,New,"Seagate Expansion Desktop, 12 TB, Unidad De Disco Duro Externa HDD, 3.5"", USB 3.0, PC & Notebook, 2 Años Rescue Services (STKP12000400)","<a href=""https://www.amazon.es/dp/B093BSR3H4"">Seagate Expansion Desktop, 12 TB, Unidad De Disco Duro Externa HDD, 3.5"", USB 3.0, PC & Notebook, 2 Años Rescue Services (STKP12000400)</a>","<a href=""https://www.amazon.es/dp/B093BSR3H4"">Seagate Expansion Desktop, 12 TB, Unidad De Disco Duro Externa HDD, 3.5"", USB 3.0, PC & Notebook, 2 Años Rescue Services (STKP12000400)</a>"
"€0,021","€20,83",€250,12 TB,,"Internal 3.5""",HDD,New,"Seagate IronWolf Pro, 12TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6GB/s, caché 256 MB, almacenamiento RAID, 3 años Rescue Services (ST12000NE0008)","<a href=""https://www.amazon.es/dp/B07LH55GC2"">Seagate IronWolf Pro, 12TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6GB/s, caché 256 MB, almacenamiento RAID, 3 años Rescue Services (ST12000NE0008)</a>","<a href=""https://www.amazon.es/dp/B07LH55GC2"">Seagate IronWolf Pro, 12TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6GB/s, caché 256 MB, almacenamiento RAID, 3 años Rescue Services (ST12000NE0008)</a>"
"€0,021","€20,99",€210,10 TB,,"Internal 3.5""",HDD,New,Seagate 10 TB IronWolf NAS 3.5 Inch Hard Drive ST10000VN0008 (SATA 6 Gb/s/256 MB/7200 RPM),"<a href=""https://www.amazon.es/dp/B07J35YWQY"">Seagate 10 TB IronWolf NAS 3.5 Inch Hard Drive ST10000VN0008 (SATA 6 Gb/s/256 MB/7200 RPM)</a>"
"€0,021","€21,27",€255,12 TB,,"External 3.5""",HDD,Used,"WD Elements 12 TB Disco duro externo de escritorio, Compatibilidad USB 3.0, Plug-and-Play solución para un fácil almacenamiento adicional de tus fotos, música, vídeos y archivos importantes.","<a href=""https://www.amazon.es/dp/B07VXKF1L4"">WD Elements 12 TB Disco duro externo de escritorio, Compatibilidad USB 3.0, Plug-and-Play solución para un fácil almacenamiento adicional de tus fotos, música, vídeos y archivos importantes.</a>","<a href=""https://www.amazon.es/dp/B07VXKF1L4"">WD Elements 12 TB Disco duro externo de escritorio, Compatibilidad USB 3.0, Plug-and-Play solución para un fácil almacenamiento adicional de tus fotos, música, vídeos y archivos importantes.</a>"
"€0,021","€21,36",€256,12 TB,3 years,"Internal 3.5""",HDD,Used,"Seagate Technology IronWolf, 12 TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6 GB/s, caché de 256 MB para almacenamiento conectado a red RAID (ST12000VNZ008)","<a href=""https://www.amazon.es/dp/B08147LZFD"">Seagate Technology IronWolf, 12 TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6 GB/s, caché de 256 MB para almacenamiento conectado a red RAID (ST12000VNZ008)</a>","<a href=""https://www.amazon.es/dp/B08147LZFD"">Seagate Technology IronWolf, 12 TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6 GB/s, caché de 256 MB para almacenamiento conectado a red RAID (ST12000VNZ008)</a>"
"€0,021","€21,47",€387,18 TB,,"Internal 3.5""",HDD,New,"Disco duro empresarial Western Digital Ultrastar DC HC550 de 18 TB (SATA de 3,5 pulgadas a 6 Gbps, SAS a 12 Gbps, 7200 RPM, 512 MB de caché)","<a href=""https://www.amazon.es/dp/B08DHH8V9P"">Disco duro empresarial Western Digital Ultrastar DC HC550 de 18 TB (SATA de 3,5 pulgadas a 6 Gbps, SAS a 12 Gbps, 7200 RPM, 512 MB de caché)</a>"
