Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
"€0,020","€19,70",€197,10 TB,2 years,"External 3.5""",HDD,New,"Seagate Expansion Desktop, 10To, Disque Dur Externe HDD, 3.5"", USB 3.0, PC & Notebook, 2 Ans Services Rescue (STKP10000402)","<a href=""https://www.amazon.fr/dp/B093BWHR9C"">Seagate Expansion Desktop, 10To, Disque Dur Externe HDD, 3.5"", USB 3.0, PC & Notebook, 2 Ans Services Rescue (STKP10000402)</a>","<a href=""https://www.amazon.fr/dp/B093BWHR9C"">Seagate Expansion Desktop, 10To, Disque Dur Externe HDD, 3.5"", USB 3.0, PC & Notebook, 2 Ans Services Rescue (STKP10000402)</a>"
"€0,020","€19,74",€276,14 TB,2 years,"External 3.5""",HDD,New,"Seagate Expansion Desktop, 14 To, Disque dur externe HDD - USB 3.0, avec Rescue Data Recovery Services pour la récupération des données (STKP14000400)","<a href=""https://www.amazon.fr/dp/B093BW8PBG"">Seagate Expansion Desktop, 14 To, Disque dur externe HDD - USB 3.0, avec Rescue Data Recovery Services pour la récupération des données (STKP14000400)</a>"
"€0,020","€19,78",€396,20 TB,,"Internal 3.5""",HDD,New,Dysk serwerowy Seagate Exos X20 20 TB 3.5'' SATA III (6 GB/s) (ST20000NM007D),"<a href=""https://www.amazon.fr/dp/B09MWJHDNC"">Dysk serwerowy Seagate Exos X20 20 TB 3.5'' SATA III (6 GB/s) (ST20000NM007D)</a>","<a href=""https://www.amazon.fr/dp/B09MWJHDNC"">Dysk serwerowy Seagate Exos X20 20 TB 3.5'' SATA III (6 GB/s) (ST20000NM007D)</a>"
"€0,020","€19,88",€159,8 TB,,"External 3.5""",HDD,Used,"WD 8TB My Book Desktop HDD USB 3.0 with software for device management, backup and password protection works with PC and Mac","<a href=""https://www.amazon.fr/dp/B01LWVT81X"">WD 8TB My Book Desktop HDD USB 3.0 with software for device management, backup and password protection works with PC and Mac</a>","<a href=""https://www.amazon.fr/dp/B01LWVT81X"">WD 8TB My Book Desktop HDD USB 3.0 with software for device management, backup and password protection works with PC and Mac</a>"
"€0,020","€19,90",€318,16 TB,3 years,"External 3.5""",HDD,Used,"WD 16To My Book - Disque dur externe de bureau avec logiciels de gestion du disque et de sauvegarde et protection par mot de passe, compatible PC & Mac","<a href=""https://www.amazon.fr/dp/B08KY99GPL"">WD 16To My Book - Disque dur externe de bureau avec logiciels de gestion du disque et de sauvegarde et protection par mot de passe, compatible PC & Mac</a>","<a href=""https://www.amazon.fr/dp/B08KY99GPL"">WD 16To My Book - Disque dur externe de bureau avec logiciels de gestion du disque et de sauvegarde et protection par mot de passe, compatible PC & Mac</a>"
"€0,020","€20,04",€241,12 TB,,"External 3.5""",HDD,Used,"WD 12 To Elements HDD de bureau, USB 3.0, (supplémentaire pour les photos, la musique, les vidéos et tous les autres fichiers, résistant aux chocs) noir","<a href=""https://www.amazon.fr/dp/B07VXKF1L4"">WD 12 To Elements HDD de bureau, USB 3.0, (supplémentaire pour les photos, la musique, les vidéos et tous les autres fichiers, résistant aux chocs) noir</a>","<a href=""https://www.amazon.fr/dp/B07VXKF1L4"">WD 12 To Elements HDD de bureau, USB 3.0, (supplémentaire pour les photos, la musique, les vidéos et tous les autres fichiers, résistant aux chocs) noir</a>"
"€0,020","€20,22",€324,16 TB,2 years,"External 3.5""",HDD,Used,"WD Elements Disque dur externe 16 To, HDD de bureau, USB 3.0, Plug-and Play stockage pour les photos, la musique, les vidéos et tout autres fichiers importants, Noir","<a href=""https://www.amazon.fr/dp/B08KY4P7L5"">WD Elements Disque dur externe 16 To, HDD de bureau, USB 3.0, Plug-and Play stockage pour les photos, la musique, les vidéos et tout autres fichiers importants, Noir</a>","<a href=""https://www.amazon.fr/dp/B08KY4P7L5"">WD Elements Disque dur externe 16 To, HDD de bureau, USB 3.0, Plug-and Play stockage pour les photos, la musique, les vidéos et tout autres fichiers importants, Noir</a>"
"€0,020","€20,39",€204,10 TB,,"External 3.5""",HDD,Used,"WD 10 To Elements HDD de bureau, USB 3.0, (supplémentaire pour les photos, la musique, les vidéos et tous les autres fichiers, résistant aux chocs) noir","<a href=""https://www.amazon.fr/dp/B07G364YHX"">WD 10 To Elements HDD de bureau, USB 3.0, (supplémentaire pour les photos, la musique, les vidéos et tous les autres fichiers, résistant aux chocs) noir</a>","<a href=""https://www.amazon.fr/dp/B07G364YHX"">WD 10 To Elements HDD de bureau, USB 3.0, (supplémentaire pour les photos, la musique, les vidéos et tous les autres fichiers, résistant aux chocs) noir</a>"
"€0,021","€20,62",€330,16 TB,3 years,"Internal 3.5""",HDD,New,"Toshiba N300 3.5"" 16000 Go Série ATA III","<a href=""https://www.amazon.fr/dp/B08HVVPGT2"">Toshiba N300 3.5"" 16000 Go Série ATA III</a>"
"€0,021","€21,06",€337,16 TB,2 years,"External 3.5""",HDD,New,"WD Elements Disque dur externe 16 To, HDD de bureau, USB 3.0, Plug-and Play stockage pour les photos, la musique, les vidéos et tout autres fichiers importants, Noir","<a href=""https://www.amazon.fr/dp/B08KY4P7L5"">WD Elements Disque dur externe 16 To, HDD de bureau, USB 3.0, Plug-and Play stockage pour les photos, la musique, les vidéos et tout autres fichiers importants, Noir</a>","<a href=""https://www.amazon.fr/dp/B08KY4P7L5"">WD Elements Disque dur externe 16 To, HDD de bureau, USB 3.0, Plug-and Play stockage pour les photos, la musique, les vidéos et tout autres fichiers importants, Noir</a>"
